[00:00:29.05],Start
[00:01:36.22],Inflection
[00:02:56.18],Inflection
[00:04:24.23],Inflection
[00:06:18.28],Inflection
[00:07:42.10],Inflection
[00:11:56.08],Inflection
[00:15:34.10],Inflection
[00:19:57.14],Inflection
[00:26:17.07],Inflection
[00:27:13.04],Inflection
[00:28:39.28],Inflection
[00:30:51.06],Inflection
[00:33:30.13],Inflection
[00:34:57.10],Inflection
[00:36:51.12],Inflection
[00:40:53.01],Inflection
[00:49:02.18],Inflection
[00:50:09.24],Inflection
[00:54:16.23],Inflection
[00:55:21.04],Inflection
[00:58:31.29],Inflection
[01:00:18.27],Inflection
[01:06:50.22],Inflection
[01:08:17.19],Inflection
[01:12:08.28],Inflection
[01:16:26.07],Inflection
[01:19:07.14],Inflection
[01:20:36.14],Inflection
[01:21:48.15],Inflection
[01:25:46.11],Inflection
[01:29:53.16],Inflection
